,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
139,Narsaq,GL,60.9167,-46.05,30.09,64,16,16.44,few clouds
140,Yanam,IN,16.7333,82.2167,75.58,92,27,4.27,scattered clouds
141,Saint George,US,37.1041,-113.5841,86.95,15,0,5.75,clear sky
142,Hofn,IS,64.2539,-15.2082,42.66,68,5,7.52,clear sky
143,Mocuba,MZ,-16.8392,36.9856,71.01,96,41,4.12,scattered clouds
144,Usinsk,RU,65.9939,57.5281,30.96,97,100,13.35,light snow
145,Caucaia,BR,-3.7361,-38.6531,80.55,78,75,13.8,broken clouds
146,Ndioum,SN,16.5129,-14.6471,93.54,27,0,8.23,clear sky
147,Pimenteiras,BR,-6.2453,-41.4192,79.7,48,42,4.14,scattered clouds
148,Sisimiut,GL,66.9395,-53.6735,22.86,81,85,7.38,overcast clouds
149,Lasa,IT,46.6166,10.7002,50.36,75,66,2.26,broken clouds
150,Frutal,BR,-20.0247,-48.9406,78.21,47,40,8.19,scattered clouds
151,Salo,IT,45.6086,10.531,62.69,70,18,5.86,few clouds
152,Sirjan,IR,29.452,55.6814,59.4,23,14,2.39,few clouds
153,Port-Gentil,GA,-0.7193,8.7815,78.76,89,40,9.22,thunderstorm
154,Bokoro,TD,12.3807,17.0568,84.7,21,83,9.13,broken clouds
155,Hambantota,LK,6.1241,81.1185,78.57,82,100,15.23,overcast clouds
156,Fez,MA,34.0372,-4.9998,70.05,52,0,2.3,clear sky
157,Comodoro Rivadavia,AR,-45.8667,-67.5,67.86,34,100,28.77,overcast clouds
158,Pedernales,DO,18.0384,-71.744,82.02,75,55,1.99,broken clouds
159,Malinyi,TZ,-8.9333,36.1333,72.21,60,29,5.28,scattered clouds
160,Burgos,ES,42.3394,-3.7079,52.21,87,75,13.8,moderate rain
161,Serov,RU,59.6033,60.5787,33.1,86,48,5.26,scattered clouds
162,Bardiyah,LY,31.7561,25.0865,69.87,70,13,3.2,few clouds
163,Anloga,GH,5.7947,0.8973,78.98,85,27,11.65,light rain
164,Pangnirtung,CA,66.1451,-65.7125,16.77,71,72,6.04,broken clouds
165,Amargosa,BR,-13.0303,-39.6047,66.52,87,20,6.42,few clouds
166,Cardoso,BR,-20.0819,-49.9142,79.27,47,71,6.44,broken clouds
167,Marienburg,PL,54.0359,19.0266,43.88,67,57,6.85,broken clouds
168,Edgewater,US,28.9889,-80.9023,61.12,59,40,11.5,scattered clouds
169,Malakal,SS,9.5334,31.6605,73.29,82,31,2.62,scattered clouds
170,Tifton,US,31.4505,-83.5085,58.71,51,0,5.75,clear sky
171,Gari,RU,59.4307,62.3497,31.89,95,78,5.93,broken clouds
172,Kuryk,KZ,43.2,51.65,61.61,63,99,26.02,overcast clouds
173,Hun,LY,29.1268,15.9477,69.35,54,47,6.29,scattered clouds
174,Luis Correia,BR,-2.8792,-41.6669,79.99,79,13,13.94,few clouds
175,Mabaruma,GY,8.2,-59.7833,76.14,91,40,3.91,scattered clouds
176,Santa Cruz,BO,-17.8,-63.1667,80.65,69,40,14.97,scattered clouds
177,Cidreira,BR,-30.1811,-50.2056,63.7,94,21,5.48,few clouds
178,Graaff-Reinet,ZA,-32.2522,24.5308,77.52,40,46,7.65,scattered clouds
179,Camabatela,AO,-8.1881,15.375,64.69,98,98,5.88,overcast clouds
180,Matara,LK,5.9485,80.5353,76.91,89,100,10.36,moderate rain
181,Papayal,PE,-4.0761,-80.7361,75.31,54,74,4.27,broken clouds
182,Harper,LR,4.375,-7.7169,76.39,88,91,6.13,light rain
183,Ambilobe,MG,-13.2,49.05,66.87,74,4,5.06,clear sky
184,Gwembe,ZM,-16.4975,27.6069,68.77,38,0,2.82,clear sky
185,Ambovombe,MG,-25.1667,46.0833,68.32,84,1,8.72,clear sky
186,Mandera,KE,3.9366,41.867,80.53,56,100,15.21,overcast clouds
187,Savantvadi,IN,15.9,73.8167,72.34,95,56,2.91,broken clouds
188,Juruti,BR,-2.1522,-56.0922,81.61,70,95,3.76,overcast clouds
189,Opuwo,NA,-18.0607,13.84,70.84,29,18,2.39,few clouds
190,Kansanshi,ZM,-12.0951,26.4273,63.82,37,29,4.09,scattered clouds
191,Cockburn Town,TC,21.4612,-71.1419,83.07,75,13,9.69,few clouds
192,Vetlanda,SE,57.4289,15.0776,35.33,88,0,3.4,clear sky
193,Tamandare,BR,-8.7597,-35.1047,74.7,84,17,11.05,few clouds
194,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,84,90,20.31,moderate rain
195,Saint Anthony,US,45.0205,-93.218,48.15,27,100,11.5,overcast clouds
196,Madingou,CG,-4.1536,13.55,75.54,83,46,4.21,scattered clouds
197,Kostomuksha,RU,64.571,30.5767,35.02,91,100,9.53,overcast clouds
198,Biala Podlaska,PL,52.0324,23.1165,40.17,86,7,9.62,clear sky
199,Buraydah,SA,26.326,43.975,76.12,13,1,7.85,clear sky
200,Gazanjyk,TM,39.2446,55.5154,55.44,61,0,11.83,clear sky
201,Isiro,CD,2.7739,27.616,66.69,95,100,1.66,overcast clouds
202,Doha,QA,25.2867,51.5333,82.38,76,0,2.3,clear sky
203,Oil City,US,41.4339,-79.7064,39.58,95,100,10.36,light rain
204,Bakel,SN,14.905,-12.4568,85.89,51,64,8.3,broken clouds
