City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
91,Sandy Bay,AU,61.3,few clouds,-42.913,147.3532,St Ives Hobart Accommodation Tasmania
92,Axim,GH,77.14,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
93,Belyy Yar,RU,33.69,clear sky,53.6039,91.3903,Pasportnyy Stol
94,Pemba,MZ,75.34,clear sky,-12.974,40.5178,Guesthouse Samotina
95,Aksay,RU,50.25,overcast clouds,47.26,39.87,Chernaya Zhemchuzhina
96,Hammerfest,NO,34.25,light shower sleet,70.6634,23.6821,Skytterhuset
97,Ergani,TR,62.35,clear sky,38.2653,39.7621,Serkan Hotel
98,Riachao Das Neves,BR,79.66,clear sky,-11.7461,-44.91,Casa Costa
99,Calvinia,ZA,64.06,scattered clouds,-31.4707,19.776,Die Lemoenhuis
100,Beloha,MG,70.41,clear sky,-25.1667,45.05, 
101,Praia Da Vitoria,PT,62.76,overcast clouds,38.7333,-27.0667,Hotel Branco I
102,Catamarca,AR,65.59,overcast clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
103,Rio Gallegos,AR,55.45,broken clouds,-51.6226,-69.2181,Hotel Santa Cruz
104,San Juan,AR,67.89,broken clouds,-31.5375,-68.5364,Hotel Provincial
105,Djambala,CG,69.35,overcast clouds,-2.5447,14.7533,Hotel Ravin D'or
106,Jalpaiguri,IN,65.32,clear sky,26.5167,88.7333,"CAMELOT, JALPAIGURI"
107,Capari,MK,47.64,clear sky,41.0561,21.1783,Hotel Molika
108,Hithadhoo,MV,80.01,overcast clouds,-0.6,73.0833,Scoop Guest House
109,Buchanan,LR,77.22,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
110,Duiwelskloof,ZA,65.3,broken clouds,-23.6934,30.14,Silvermist Guesthouse
111,La Romana,DO,78.42,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
112,Zatoka,UA,57.7,broken clouds,46.0725,30.4654,Sonyachna
113,Rocha,UY,57.87,few clouds,-34.4833,-54.3333,Hotel Arrarte
114,Balboa,CO,63.05,moderate rain,2.0396,-77.2168,El amor de Mi vida
115,Oranjestad,AW,83.91,clear sky,12.524,-70.027,Divi Village Golf & Beach Resort
116,Placido De Castro,BR,82.71,broken clouds,-10.3353,-67.1856,Hotel Carioca
117,Mormugao,IN,78.06,broken clouds,15.4,73.8,Coconut Creek Resort
118,Mutoko,ZW,61.27,broken clouds,-17.397,32.2268,Suskwe Lodge Mutoko
119,Lenina,RU,53.15,scattered clouds,46.0667,39.7833,Mini Otel' Chizhik
120,Iralaya,HN,79.99,light rain,15.0,-83.2333,Iglesia morava renovada
121,Tara,RU,40.28,light rain,56.8944,74.371,Medved'
122,Mpanda,TZ,69.85,broken clouds,-6.3655,31.0409,CH Hotel - Mpanda
123,Bredasdorp,ZA,59.7,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
124,Saryozek,KZ,40.03,overcast clouds,44.3583,77.9753,Gostinitsa
125,Pimenta Bueno,BR,74.44,broken clouds,-11.6725,-61.1936,Cristalina Palace Hotel
126,Battle Creek,US,40.66,overcast clouds,42.3212,-85.1797,McCamly Plaza Hotel
127,Nynashamn,SE,39.16,broken clouds,58.9034,17.9479,Nynäs Havsbad
